City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Punta Arenas,CL,57.31,clear sky,-53.15,-70.9167,Hotel Hain
13,Ponta Do Sol,PT,65.03,overcast clouds,32.6667,-17.1,Hotel do Campo
26,Hermanus,ZA,60.91,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
29,Cape Town,ZA,64.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
35,Jiangkou,CN,51.69,overcast clouds,25.4872,119.1986,DFM Hotel
36,Bredasdorp,ZA,58.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
38,Praia Da Vitoria,PT,61.75,few clouds,38.7333,-27.0667,Hotel Branco I
39,Mataura,NZ,58.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
41,Ribeira Brava,PT,65.03,overcast clouds,32.65,-17.0667,Hotel do Campo
45,Ushuaia,AR,55.06,clear sky,-54.8,-68.3,Albatross Hotel
77,Zhuhai,CN,68.11,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
80,Ribeira Grande,PT,63.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
84,Lichtenburg,ZA,61.74,clear sky,-26.152,26.1597,Kennzy Guest House
92,Gushikawa,JP,65.43,clear sky,26.3544,127.8686,Kirari Guest House
103,Husavik,IS,53.51,overcast clouds,66.0449,-17.3389,Bjarnabúð
104,Constitucion,CL,53.6,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
109,Castro,BR,65.1,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
111,Bluff,NZ,58.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
118,Spring Hill,US,66.81,clear sky,28.4769,-82.5255,Room of The world By traveline Plus
122,Hasilpur,PK,51.84,clear sky,29.7122,72.5553,"Masjid Noor, Tahir Colony, Purana Hasilpur"
131,Lompoc,US,61.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
132,Dera Bugti,PK,56.03,clear sky,29.0307,69.151,Nawab Bugti House
140,Portland,US,50.85,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
153,Kangaba,ML,68.23,few clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
155,Ishigaki,JP,66.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
156,Canatlan,MX,57.33,overcast clouds,24.5167,-104.7833,AUTOLAVADO El Negro
168,Pisco,PE,68.02,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
178,Rio Gallegos,AR,60.85,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
182,Mugumu,TZ,59.61,light rain,-1.85,34.7,Lemala Mara
185,Vicuna,CL,53.33,clear sky,-30.0319,-70.7081,Los Mosaicos
188,Rawson,AR,61.09,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
192,Islamkot,PK,66.87,clear sky,24.6997,70.177,Haji Hotel
195,Los Llanos De Aridane,ES,58.75,clear sky,28.6585,-17.9182,Valle Aridane
197,Jackson,US,51.8,few clouds,42.4165,-122.8345,Agate Village Apartments
203,Fortuna,US,52.32,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
208,Pinhao,BR,64.58,few clouds,-25.6956,-51.6597,Pinhão Park Hotel
212,Peniche,PT,50.45,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
214,Vila Franca Do Campo,PT,61.21,clear sky,37.7167,-25.4333,Pestana Bahia Praia
216,Kaitangata,NZ,64.92,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
232,Comodoro Rivadavia,AR,60.66,overcast clouds,-45.8667,-67.5,Austral Hotel
237,Nebbi,UG,67.21,overcast clouds,2.4783,31.0889,Satellite One Hotel
238,Rapar,IN,66.79,clear sky,23.5667,70.6333,Dharamshi Bapa’s Home
251,Kruisfontein,ZA,69.89,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
252,Guerrero Negro,MX,67.95,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
255,Saint George,US,52.36,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
256,Rancho Palos Verdes,US,69.37,clear sky,33.7445,-118.387,Terranea Resort
263,Sayyan,YE,50.88,clear sky,15.1718,44.3244,ملاطف ابوحورية
265,Laguna,US,59.5,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
270,Saldanha,ZA,59.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
271,Mathathane,BW,68.94,clear sky,-22.2687,28.7495,Selepswe Resort
274,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Hostel Del Puerto
279,Nouadhibou,MR,64.38,overcast clouds,20.931,-17.0347,El Medina
280,Shakawe,BW,66.56,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
281,Sahuaripa,MX,60.67,clear sky,29.05,-109.2333,Estatua de Sahuaripa
284,Namibe,AO,69.06,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
297,Eureka,US,52.57,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
306,Tuatapere,NZ,58.82,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
314,Ancud,CL,54.23,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
320,Lagoa,PT,60.87,overcast clouds,39.05,-27.9833,Casa Das Faias
323,Tucuman,AR,69.8,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
333,Kaihua,CN,51.42,overcast clouds,23.3687,104.28,Zhongyu Hotel
334,Kigali,RW,63.88,broken clouds,-1.95,30.0588,Hôtel des Mille Collines
335,Lata,PT,50.07,clear sky,40.1629,-8.3327,Casa Maquia
344,Lao Cai,VN,60.6,overcast clouds,22.4833,103.95,Legend Hotel
347,Bela,IN,57.06,scattered clouds,25.9333,81.9833,Raj Bhawan
358,Lebu,CL,53.8,clear sky,-37.6167,-73.65,Hostal Las Lilas
360,Ambatolampy,MG,56.97,light rain,-19.3833,47.4167,Au Rendez Vous Des P?Ÿƒ¦cheurs
361,Coihaique,CL,56.01,light rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
363,Diu,IN,69.8,clear sky,20.7141,70.9822,Hotel Relax Inn
364,Arlit,NE,54.81,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
368,Kuito,AO,56.32,overcast clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
370,Adeje,ES,61.74,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
374,Talcahuano,CL,58.68,clear sky,-36.7167,-73.1167,departamento comodo
380,Vega De Alatorre,MX,66.97,overcast clouds,20.0333,-96.6333,Hotel Deluxe
388,Cooma,AU,69.57,scattered clouds,-36.2333,149.1333,High Country Motel
390,Plettenberg Bay,ZA,66.04,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
392,Kalinagar,IN,54.68,clear sky,28.6167,80.1,कार्यालय नगर पंचायत कलीनगर
398,Hirara,JP,66.06,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
400,Kalemie,CD,67.53,overcast clouds,-5.9475,29.1947,Mahobilali
408,Minab,IR,59.32,clear sky,27.1467,57.0801,Bam campground
422,Mecca,SA,64.2,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
431,Betare Oya,CM,64.71,scattered clouds,5.6,14.0833,Auberge Tembina Betaré Oya
439,Kindu,CD,68.94,light rain,-2.95,25.95,Résidence Okanda
442,Gourcy,BF,61.16,clear sky,13.2167,-2.35,Auberge Gourcy
448,Santa Flavia,IT,53.33,overcast clouds,38.085,13.5351,La Caletta
451,Moche,PE,68.18,mist,-8.1711,-79.0092,Wyndham Costa del Sol Trujillo
453,Soe,ID,68.56,overcast clouds,-9.8607,124.284,Dena Hotel
457,Victoria,HK,68.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
459,Bangui,CF,69.98,clear sky,4.3612,18.555,SAM HOTEL
462,Safaga,EG,51.75,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
465,Calbuco,CL,54.61,scattered clouds,-41.768,-73.1273,Hotel Colonial
469,Mwanza,TZ,67.37,light rain,-2.5167,32.9,Gold Crest Hotel
475,Kashmor,PK,58.05,few clouds,28.4333,69.5833,Shah Madina Hotel
477,Ginir,ET,56.19,broken clouds,7.1333,40.7,Sura Dare Village
478,Chhaprauli,IN,52.43,clear sky,29.2167,77.1833,झ
487,Naze,JP,61.72,overcast clouds,28.3667,129.4833,Shishime Hotel
490,Louis Trichardt,ZA,61.75,broken clouds,-23.0439,29.9032,139 on Munnik Guest House
495,Valdivia,CL,50.29,scattered clouds,-39.8142,-73.2459,Hostal Entre Rios
501,Posse,BR,67.89,clear sky,-14.0931,-46.3694,Pousada das Palmeiras
505,Krishnarajpet,IN,61.97,overcast clouds,12.655,76.4883,Pruthvi Comforts
523,Ahmadpur East,PK,56.7,clear sky,29.1431,71.2598,Irfan fabrics
524,Jiaxing,CN,51.03,overcast clouds,30.7522,120.75,Jiaxing Sunny Hotel
528,Te Anau,NZ,67.68,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
530,Nador,MA,53.85,broken clouds,35.174,-2.9287,Hôtel La Giralda
532,Benjamin Hill,MX,61.23,clear sky,30.1667,-111.1,Hotel Benjamín Hill
555,San Jeronimo,PE,52.52,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
560,Umm Lajj,SA,60.01,clear sky,25.0213,37.2685,Moon light Furnished Units
564,Pacifica,US,59.83,scattered clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
567,Chor,PK,67.48,clear sky,25.5167,69.7667,Asad U Bajeer Hotel
571,Sayan,PE,69.15,overcast clouds,-11.1361,-77.1933,Hotel Restaurant Vanessa
575,San Quintin,MX,61.59,clear sky,30.4833,-115.95,Don Eddie's Landing
577,Ayorou,NE,59.77,clear sky,14.7308,0.9174,Hotel Amenokal
579,Muros,ES,51.1,clear sky,42.7762,-9.0603,Apartment Av. Castelao
594,Kati,ML,67.41,clear sky,12.7441,-8.0726,Lingot d’or
603,Toribio,CO,65.66,scattered clouds,2.9548,-76.2684,Casa de Huespedes Toribio
607,Emilio Carranza,MX,66.65,overcast clouds,19.9711,-96.6114,Hotel Carranza Inn
609,Tura,IN,61.2,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
632,Nawa,IN,55.11,clear sky,27.0167,75.0,"Sambharia Bhawan,Kuchaman Road,Nawa City"
645,Dabakala,CI,69.03,scattered clouds,8.3667,-4.4333,Hôtel Campement
646,Katsina,NG,51.35,clear sky,12.9894,7.6006,Katsina Motel
648,Taltal,CL,68.99,few clouds,-25.4,-70.4833,Residencial Karime
655,Benghazi,LY,56.35,broken clouds,32.1167,20.0667,Tibesti Hotel
658,Zimapan,MX,51.19,overcast clouds,20.75,-99.35,Hotel Royal Spa
659,Ponta Delgada,PT,61.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
674,Casma,CL,54.68,scattered clouds,-41.0082,-73.1244,Hospedaje Casma
